AnimalName,DangerRate,TotalCases,CI_Lower,CI_Upper
Birds,1.0,37,1.0,1.0
Black-tailed deer,1.0,1,1.0,1.0
Buffaloes,0.9147286821705426,129,0.8665329200532159,0.9629244442878693
Cattle,1.0,21,1.0,1.0
Chicken,0.1111111111111111,9,0.0,0.31643396905564936
Deer,1.0,38,1.0,1.0
Dog,1.0,34,1.0,1.0
Dogs,1.0,1,1.0,1.0
Donkey,1.0,38,1.0,1.0
Duck,1.0,56,1.0,1.0
Elephant,1.0,59,1.0,1.0
Elk,1.0,1,1.0,1.0
Fowl,1.0,62,1.0,1.0
Fox,1.0,7,1.0,1.0
Fox ,1.0,1,1.0,1.0
Goat,1.0,26,1.0,1.0
Goats,1.0,2,1.0,1.0
Hamster,1.0,18,1.0,1.0
Horse,1.0,10,1.0,1.0
Hyaenas,1.0,1,1.0,1.0
Lion,1.0,16,1.0,1.0
Monkey,0.9285714285714286,28,0.833177508429734,1.0
Moos,1.0,1,1.0,1.0
Mule deer,1.0,1,1.0,1.0
Other Birds,1.0,6,1.0,1.0
Pig,1.0,63,1.0,1.0
Pigs,1.0,3,1.0,1.0
Rabbit,1.0,11,1.0,1.0
Reindeer,1.0,1,1.0,1.0
Sheep,0.990909090909091,110,0.9731720857400484,1.0
Sika deer,1.0,1,1.0,1.0
Tiger,1.0,17,1.0,1.0
Turtle,1.0,4,1.0,1.0
Wapiti,1.0,1,1.0,1.0
White-tailed deer,1.0,1,1.0,1.0
Wolves,1.0,1,1.0,1.0
cat,1.0,36,1.0,1.0
cattle,1.0,1,1.0,1.0
chicken,1.0,4,1.0,1.0
cow,1.0,3,1.0,1.0
donkey,1.0,2,1.0,1.0
duck,1.0,1,1.0,1.0
horse,1.0,5,1.0,1.0
mammal,1.0,1,1.0,1.0
mules,1.0,1,1.0,1.0
snake,1.0,1,1.0,1.0
