AnimalName,mean,median,min,max
Birds,5.0,5.0,5,5
Black-tailed deer,5.0,5.0,5,5
Buffaloes,5.0,5.0,5,5
Cattle,5.0,5.0,5,5
Chicken,5.0,5.0,5,5
Deer,5.0,5.0,5,5
Dog,5.0,5.0,5,5
Dogs,5.0,5.0,5,5
Donkey,5.0,5.0,5,5
Duck,5.0,5.0,5,5
Elephant,5.0,5.0,5,5
Elk,5.0,5.0,5,5
Fowl,5.0,5.0,5,5
Fox,5.0,5.0,5,5
Fox ,5.0,5.0,5,5
Goat,5.0,5.0,5,5
Goats,5.0,5.0,5,5
Hamster,5.0,5.0,5,5
Horse,5.0,5.0,5,5
Hyaenas,5.0,5.0,5,5
Lion,5.0,5.0,5,5
Monkey,5.0,5.0,5,5
Moos,5.0,5.0,5,5
Mule deer,5.0,5.0,5,5
Other Birds,5.0,5.0,5,5
Pig,5.0,5.0,5,5
Pigs,5.0,5.0,5,5
Rabbit,5.0,5.0,5,5
Reindeer,5.0,5.0,5,5
Sheep,5.0,5.0,5,5
Sika deer,5.0,5.0,5,5
Tiger,5.0,5.0,5,5
Turtle,5.0,5.0,5,5
Wapiti,5.0,5.0,5,5
White-tailed deer,5.0,5.0,5,5
Wolves,5.0,5.0,5,5
cat,5.0,5.0,5,5
cattle,5.0,5.0,5,5
chicken,5.0,5.0,5,5
cow,5.0,5.0,5,5
donkey,5.0,5.0,5,5
duck,5.0,5.0,5,5
horse,5.0,5.0,5,5
mammal,5.0,5.0,5,5
mules,5.0,5.0,5,5
snake,5.0,5.0,5,5
